PROTID	GENEID	cGFP_C1_6h_BioID_1_INT	cGFP_C1_6h_BioID_2_INT	cGFP_C1_6h_BioID_3_INT	cGFP_C2_6h_BioID_1_INT	cGFP_C2_6h_BioID_2_INT	cGFP_C2_6h_BioID_3_INT	cGFP_C3_6h_BioID_1_INT	cGFP_C3_6h_BioID_2_INT	cGFP_C3_6h_BioID_3_INT	cGFP_C4_6h_BioID_1_INT	cGFP_C4_6h_BioID_2_INT	cGFP_C4_6h_BioID_3_INT	cGFP_C5_6h_BioID_1_INT	cGFP_C5_6h_BioID_2_INT	cGFP_C5_6h_BioID_3_INT	cGFP_N1_6h_BioID_1_INT	cGFP_N1_6h_BioID_2_INT	cGFP_N1_6h_BioID_3_INT	cGFP_N2_6h_BioID_1_INT	cGFP_N2_6h_BioID_2_INT	cGFP_N2_6h_BioID_3_INT	cGFP_N3_6h_BioID_1_INT	cGFP_N3_6h_BioID_2_INT	cGFP_N3_6h_BioID_3_INT	cGFP_N4_6h_BioID_1_INT	cGFP_N4_6h_BioID_2_INT	cGFP_N4_6h_BioID_3_INT
na	na	cGFP_C1_6h_BioID	cGFP_C1_6h_BioID	cGFP_C1_6h_BioID	cGFP_C2_6h_BioID	cGFP_C2_6h_BioID	cGFP_C2_6h_BioID	cGFP_C3_6h_BioID	cGFP_C3_6h_BioID	cGFP_C3_6h_BioID	cGFP_C4_6h_BioID	cGFP_C4_6h_BioID	cGFP_C4_6h_BioID	cGFP_C5_6h_BioID	cGFP_C5_6h_BioID	cGFP_C5_6h_BioID	cGFP_N1_6h_BioID	cGFP_N1_6h_BioID	cGFP_N1_6h_BioID	cGFP_N2_6h_BioID	cGFP_N2_6h_BioID	cGFP_N2_6h_BioID	cGFP_N3_6h_BioID	cGFP_N3_6h_BioID	cGFP_N3_6h_BioID	cGFP_N4_6h_BioID	cGFP_N4_6h_BioID	cGFP_N4_6h_BioID
O75694	NUP155	66253.4	100252.93	110004.66	76758.875	75887.78	118398.21	98854.625	94456.914	66330.805	127271.45	181073.72	158272.2	133200.88	134717.97	119918.44	225559.44	275480.56	220796.6	312573.1	306597.66	277096.7	356484.62	330693.38	358702.6	505360.97	477414.06	393755.0
O75717	WDHD1	804502.25	778445.56	816120.06	1379668.0	1386069.6	775665.75	1015310.5	708483.3	999612.75	535681.7	444501.8	520438.1	419383.62	520893.9	420918.06	442159.75	418461.72	523886.78	491246.4	557955.9	528325.5	207764.61	293069.2	228490.19	164000.44	205741.47	193019.17
O75718	CRTAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23103.549	0	0
O75746	SLC25A12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12402.955	13327.611	11051.187	0	11085.67	10644.71	15181.17	0	15257.097	0	12090.774	12683.727
O75781	PALM	0	0	0	0	0	37018.61	12673.62	20436.475	30647.11	0	0	0	0	0	0	14843.71	16506.938	12966.553	10750.738	17536.832	10570.936	0	11343.305	0	0	27360.117	8973.38
O75787	ATP6AP2	83500.73	94393.18	158801.94	61954.734	63754.72	74162.89	64252.36	64033.8	14346.322	99783.35	128835.38	102379.22	128315.87	90060.984	108720.34	61979.07	45880.766	53588.08	37240.11	32925.996	39333.055	20890.143	21681.61	30392.602	20679.531	18983.834	0
O75792	RNASEH2A	130773.66	137182.78	128346.055	129293.164	165387.17	131247.03	147332.84	127267.66	173419.08	110468.27	148130.53	131189.92	137683.53	110162.83	135271.95	83216.75	62182.316	91047.98	163734.19	162827.5	160955.72	120234.69	138387.89	79930.55	86366.055	108533.195	139827.72
O75794	CDC123	112568.266	92152.67	111705.445	41265.816	78217.51	109864.81	84137.81	86841.33	97495.78	158822.92	125868.95	156906.06	158136.45	177676.7	172303.94	82040.57	67257.25	104603.875	196156.89	167226.77	166384.64	218899.03	207744.73	154285.39	202742.88	154350.6	166106.45
O75808	CAPN15	17306.59	13938.946	17452.312	33841.082	18336.027	14076.942	14367.961	27479.52	28612.55	14120.734	14218.727	14386.326	13795.115	14948.706	15017.015	0	0	0	0	0	0	0	0	0	0	0	0
O75815	BCAR3	41476.77	40789.78	46796.664	27072.03	0	0	0	43472.22	0	0	0	38549.727	0	46049.965	0	0	0	0	0	0	0	0	0	0	0	0	0
O75817	POP7	71208.93	63464.5	76714.266	65492.52	80030.68	68901.01	86111.53	45379.43	70297.234	83212.66	74909.336	97460.08	47749.094	47944.58	62476.938	137179.12	132141.42	151049.27	159563.95	166872.42	166934.08	144028.4	162209.56	151417.05	149271.56	143070.31	143949.72
O75818	RPP40	144173.03	183421.1	182320.92	318599.38	304281.56	174352.95	230337.16	176526.73	207481.27	102241.71	99350.234	115592.266	104375.14	93501.39	61760.586	43514.156	37983.875	48966.684	86508.62	28195.596	102506.6	33311.336	29106.34	32481.97	30777.719	46150.59	28732.438
O75821	EIF3G	892999.6	788799.44	751280.25	435877.8	500088.97	715213.3	467518.25	808758.94	568067.0	870074.1	714636.6	752889.8	899051.06	962393.56	893364.8	795589.75	772981.8	826755.3	696843.5	759388.44	751892.25	773380.2	1010946.6	856106.6	1047750.4	1005555.25	1058028.1
O75822	EIF3J	169650.78	195806.0	189020.28	87569.61	90937.64	167752.19	119350.71	173158.89	129145.54	181087.66	192557.1	157451.64	161836.23	179410.89	185517.98	103653.19	115911.33	150321.98	129706.8	87079.23	131521.97	160813.44	180909.39	126238.56	90277.47	109024.97	120882.84
O75832	PSMD10	100205.53	111387.97	124075.16	129202.91	148472.03	136315.73	157751.28	138721.11	164572.42	160810.28	157310.69	160636.08	177435.94	167492.52	169018.73	151506.89	156578.97	156882.19	135288.97	128980.14	135334.77	66930.76	97406.516	174515.5	217337.86	202918.16	191157.34
