Protein.Group	8971_Liu_Cov_Lysate_32-1-1_S1-A2_1.d	8973_Liu_Cov_Lysate_32-1-2_S1-A4_1.d	8975_Liu_Cov_Lysate_32-1-3_S1-A6_1.d	8977_Liu_Cov_Lysate_32-8-1_S1-A8_1.d	8979_Liu_Cov_Lysate_32-8-2_S1-A10_1.d	8981_Liu_Cov_Lysate_32-8-3_S1-A12_1.d	8983_Liu_Cov_Lysate_32-16-1_S1-B2_1.d	8985_Liu_Cov_Lysate_32-16-2_S1-B4_1.d	8987_Liu_Cov_Lysate_32-16-3_S1-B6_1.d
Q9Y3B3	1462.6	817.713	1233.94	1068.12	1011.82	795.734	1002.22	1020.54	988.302
P01889	57899.5	51071.4	51360.8	84422.7	76709.6	70015.2	72911.2	76078.3	68761.3
Q16774	4111.1	4663.47	3259.48	4049.15	2776.44	4608.92	5513.76	4792.69	4903.36
P23508	41428.1	46062.9	40921.7	44501.9	43800.4	45699.5	47579.0	49979.8	47381.9
A0A0A0MS00	56603.0	56079.2	57165.7	40831.9	42201.3	41532.1	33739.5	34708.4	35685.7
P21781	214552.0	256066.0	222106.0	192611.0	190456.0	154483.0	195601.0	212733.0	106772.0
O95180	22493.0	26110.8	24923.6	24417.4	26551.6	25420.0	26703.1	26234.9	24851.2
Q13416	83710.5	53129.6	66094.4	72158.3	74757.6	73884.4	57473.1	59530.7	48693.6
O15069	39625.8	38451.3	40208.3	63782.9	65625.6	65987.0	48754.2	48085.8	48234.3
Q8N9V2		3460.98	4352.04	2214.71	2320.54	3851.39	2820.99	1852.77	2643.99
P49441	8414.43	9305.91	6892.31	6448.28	4730.09	6690.97	5428.07	5662.2	5249.04
O95221	16321.4	14870.3	14309.1	11761.0	9717.94	11639.6	12443.4	12213.8	12775.6
Q9BQG1	199356.0	195588.0	181984.0	177449.0	179328.0	186937.0	155892.0	151003.0	149119.0
P43631	4195.51	3877.81	3657.34	3056.62	2612.27	3146.4	3289.91	2716.89	3810.49
Q9UKB5	2328.92	1468.26	1711.0	1912.19	1990.08	2491.13	2031.43	2035.77	2050.37
Q9NZH6	10889.0	8620.49	8246.42	22632.2	22461.6	19808.7	12464.2		14847.3
A8MW92	18735.3	20579.4	20335.2	16403.4	16400.8	16913.3	18951.7	18442.7	18521.8
Q8N357	4299.99	3219.02	2295.0	4552.83	3935.8	3802.3	4449.57	4777.13	4278.28
O15050	21430.6	20107.8	19896.4	20689.4	19400.6	20857.0	22147.8	19721.5	22607.8
