PROTID	GENEID	cGFP_6h_BioID_10_1_INT	cGFP_6h_BioID_10_2_INT	cGFP_6h_BioID_10_3_INT	cGFP_6h_BioID_11_1_INT	cGFP_6h_BioID_11_2_INT	cGFP_6h_BioID_11_3_INT	cGFP_6h_BioID_1_1_INT	cGFP_6h_BioID_1_2_INT	cGFP_6h_BioID_1_3_INT	cGFP_6h_BioID_2_1_INT	cGFP_6h_BioID_2_2_INT	cGFP_6h_BioID_2_3_INT	cGFP_6h_BioID_3_1_INT	cGFP_6h_BioID_3_2_INT	cGFP_6h_BioID_3_3_INT	cGFP_6h_BioID_4_1_INT	cGFP_6h_BioID_4_2_INT	cGFP_6h_BioID_4_3_INT	cGFP_6h_BioID_5_1_INT	cGFP_6h_BioID_5_2_INT	cGFP_6h_BioID_5_3_INT	cGFP_6h_BioID_6_1_INT	cGFP_6h_BioID_6_2_INT	cGFP_6h_BioID_6_3_INT	cGFP_6h_BioID_7_1_INT	cGFP_6h_BioID_7_2_INT	cGFP_6h_BioID_7_3_INT	cGFP_6h_BioID_8_1_INT	cGFP_6h_BioID_8_2_INT	cGFP_6h_BioID_8_3_INT	cGFP_6h_BioID_9_1_INT	cGFP_6h_BioID_9_2_INT	cGFP_6h_BioID_9_3_INT
na	na	cGFP_6h_BioID_10	cGFP_6h_BioID_10	cGFP_6h_BioID_10	cGFP_6h_BioID_11	cGFP_6h_BioID_11	cGFP_6h_BioID_11	cGFP_6h_BioID_1	cGFP_6h_BioID_1	cGFP_6h_BioID_1	cGFP_6h_BioID_2	cGFP_6h_BioID_2	cGFP_6h_BioID_2	cGFP_6h_BioID_3	cGFP_6h_BioID_3	cGFP_6h_BioID_3	cGFP_6h_BioID_4	cGFP_6h_BioID_4	cGFP_6h_BioID_4	cGFP_6h_BioID_5	cGFP_6h_BioID_5	cGFP_6h_BioID_5	cGFP_6h_BioID_6	cGFP_6h_BioID_6	cGFP_6h_BioID_6	cGFP_6h_BioID_7	cGFP_6h_BioID_7	cGFP_6h_BioID_7	cGFP_6h_BioID_8	cGFP_6h_BioID_8	cGFP_6h_BioID_8	cGFP_6h_BioID_9	cGFP_6h_BioID_9	cGFP_6h_BioID_9
O14497	ARID1A	53980.453	47827.562	54029.203	38742.535	42913.49	45781.5	130229.945	100112.62	80427.7	92542.69	121871.2	98206.35	108854.32	103867.266	102680.26	56289.6	83869.03	85972.086	163674.34	124993.24	68930.805	62894.633	85821.76	51770.445	58217.312	79046.03	96894.14	44905.562	51749.977	46956.24	35683.9	48753.996	57228.438
O14519	CDK2AP1	123938.38	105508.555	688693.7	118201.54	118764.555	107078.84	159087.8	118208.24	123767.25	383700.75	53557.125	135578.31	63502.227	141284.44	187022.78	171365.9	210525.69	131594.56	214438.22	238129.44	192934.94	193722.98	178457.97	193957.44	196387.03	242237.78	214992.47	607866.5	493646.66	42643.316	63764.934	78210.586	102999.68
O14530	TXNDC9	194651.5	184291.28	198911.28	211487.4	221238.53	202345.47	254638.0	227016.72	224360.4	175518.0	194822.98	189129.8	185975.95	182454.52	184975.5	187966.16	170850.03	176668.02	272653.06	207634.58	215767.36	208049.67	217355.94	203447.28	224893.14	223149.38	228418.4	217606.23	214017.88	192534.39	190671.89	193628.94	206211.72
O14531	DPYSL4	101855.49	110482.81	85523.23	72079.48	106748.44	100749.22	150787.11	109021.7	180542.62	174298.06	140084.84	152164.19	128213.234	155498.12	172176.4	157434.39	157531.94	140525.5	107872.5	112454.08	118409.25	99983.19	123493.664	91596.734	126290.33	94533.59	133938.36	99569.24	85370.18	103424.55	97217.94	65276.08	96614.625
O14544	SOCS6	0	0	0	0	0	0	6972.82	9788.954	20841.008	6574.3496	6447.072	16426.535	22484.617	10454.885	22434.371	19516.416	21744.316	19417.426	15877.356	14944.988	0	0	12429.115	0	13751.553	0	11822.545	0	0	0	0	0	0
O14545	TRAFD1	0	0	0	0	0	0	12490.868	19022.484	30962.863	10120.877	41281.1	43191.64	30328.043	0	18303.393	0	37366.3	27853.986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14562	UBFD1	277215.84	315307.2	282474.47	343818.62	285723.78	307428.7	496234.47	601312.0	444991.44	506325.25	439757.8	419649.44	436414.4	430036.7	398925.0	380602.34	377555.62	414530.84	458586.25	396275.6	305785.53	445029.22	376534.34	401793.47	420141.75	334284.8	357105.4	244586.28	237446.69	294638.1	490665.25	264452.44	305963.7
O14576	DYNC1I1	67215.24	69738.44	0	62004.07	0	69401.64	64124.465	55595.5	0	52034.883	63175.14	62103.387	61725.316	57386.734	53958.85	53660.723	55595.496	0	0	43511.914	38397.367	29880.8	41694.85	46579.723	45257.03	40041.156	38604.31	66990.87	0	70442.97	62267.598	67446.81	66670.336
O14578	CIT	173931.89	160797.7	128911.39	154197.22	119362.62	155615.89	174738.05	199441.25	199115.02	190937.0	268819.16	169518.05	221355.66	393715.16	363670.75	269144.78	199135.84	344599.2	349959.72	410531.0	304395.62	332615.62	381808.84	416819.84	353355.16	350513.66	404972.16	153437.7	160798.58	163533.3	169124.84	154849.11	161394.95
O14579	COPE	119612.28	121515.92	144268.78	108008.02	129096.195	140481.53	134663.17	165717.5	152280.3	140691.38	115533.85	128882.22	136701.44	146010.47	136223.48	110689.25	134299.3	129735.2	304659.78	240552.97	280708.78	264612.06	338064.38	250251.89	297263.72	289853.34	287076.9	128379.41	122680.82	123405.016	134725.95	130843.75	124980.74
O14617	AP3D1	19463.602	28655.936	32951.312	24959.049	28872.309	20281.309	129758.82	99683.305	90834.41	125482.36	106226.66	157237.03	125879.945	143241.73	128656.11	122610.36	89622.59	129259.21	310490.12	342129.78	359723.2	362893.8	307091.4	303129.03	357069.4	350655.88	366731.75	31511.305	52945.973	20437.314	43390.887	19450.09	18836.008
O14639	ABLIM1	366728.7	395576.1	455018.34	805779.44	457079.88	477419.44	848354.75	717895.25	688841.1	812985.7	779303.75	824602.75	852358.6	744638.56	757321.1	741197.44	689556.6	581863.8	774079.94	640726.6	583405.9	663781.9	595907.75	574795.4	662407.56	652859.25	574717.1	480427.53	372653.97	318961.34	586731.56	316745.78	605252.94
O14640	DVL1	102560.15	109847.26	140051.02	93596.72	151443.27	132480.44	145475.94	94032.57	154437.55	147276.36	141261.23	159137.78	153531.06	165156.92	175122.03	154784.95	179456.33	168017.36	207954.44	223490.11	253467.78	247596.62	262046.06	240225.36	258325.58	236629.56	262987.12	119683.82	135458.36	133190.12	134511.06	146632.86	111382.445
O14641	DVL2	543044.5	586042.94	700083.75	604030.8	720240.94	639308.94	659565.7	516837.44	576918.75	633575.2	630818.75	698785.9	696098.06	787812.6	902163.75	715532.44	671216.1	857382.1	963985.56	939415.4	988893.94	1050451.0	1050009.4	1054163.1	1097917.5	1039228.6	1058570.5	558183.75	622096.2	491998.25	668753.9	660411.44	598898.2
